Seed,Total Nodes,Neighbor %,Bizantine %,Protocol,Time,Infected Nodes,Total Messages
70,50,0.05,0.3,AntiEntropy,9.028,100.0,472
420,50,0.05,0.3,AntiEntropy,6.52,100.0,293
42,50,0.05,0.4,AntiEntropy,10.532,100.0,541
70,50,0.05,0.4,AntiEntropy,10.03,100.0,565
420,50,0.05,0.4,AntiEntropy,8.025,100.0,477
42,50,0.1,0.1,AntiEntropy,7.523,100.0,375
70,50,0.1,0.1,AntiEntropy,7.022,100.0,431
420,50,0.1,0.1,AntiEntropy,6.52,100.0,339
42,50,0.1,0.2,AntiEntropy,7.523,100.0,483
70,50,0.1,0.2,AntiEntropy,7.523,100.0,426
420,50,0.1,0.2,AntiEntropy,7.523,100.0,409
42,50,0.1,0.3,AntiEntropy,6.018,100.0,313
70,50,0.1,0.3,AntiEntropy,7.022,100.0,394
420,50,0.1,0.3,AntiEntropy,6.52,100.0,368
42,50,0.1,0.4,AntiEntropy,6.52,100.0,316
70,50,0.1,0.4,AntiEntropy,11.536,100.0,828
420,50,0.1,0.4,AntiEntropy,8.526,100.0,587
42,50,0.15,0.1,AntiEntropy,7.523,100.0,394
70,50,0.15,0.1,AntiEntropy,7.022,100.0,413
420,50,0.15,0.1,AntiEntropy,5.015,100.0,290
42,50,0.15,0.2,AntiEntropy,8.024,100.0,537
70,50,0.15,0.2,AntiEntropy,7.523,100.0,480
420,50,0.15,0.2,AntiEntropy,5.015,100.0,287
42,50,0.15,0.3,AntiEntropy,9.028,100.0,609
70,50,0.15,0.3,AntiEntropy,5.518,100.0,311
420,50,0.15,0.3,AntiEntropy,6.017,100.0,352
42,50,0.15,0.4,AntiEntropy,6.52,100.0,371
70,50,0.15,0.4,AntiEntropy,6.52,100.0,396
420,50,0.15,0.4,AntiEntropy,5.515,100.0,294
42,100,0.05,0.1,AntiEntropy,7.524,100.0,840
70,100,0.05,0.1,AntiEntropy,8.527,100.0,968
420,100,0.05,0.1,AntiEntropy,10.535,100.0,1217
42,100,0.05,0.2,AntiEntropy,8.527,100.0,1009
